no	n o |
notas	n o t a s |
golpecitos	g o l p e c i t o s |
guardados	g u a r d a d o s |
llevo	l l e v o |
vean	v e a n |
intenciones	i n t e n c i o n e s |
niños	n i ñ o s |
nacen	n a c e n |
artistas	a r t i s t a s |
siendo	s i e n d o |
crecer	c r e c e r |
derrotistas	d e r r o t i s t a s |
hubiésemos	h u b i é s e m o s |
gozaríamos	g o z a r í a m o s |
aguanto	a g u a n t o |
trabajas	t r a b a j a s |
guardia	g u a r d i a |
incluso	i n c l u s o |
entender	e n t e n d e r |
liaras	l i a r a s |
continúan	c o n t i n ú a n |
protestas	p r o t e s t a s |
daos	d a o s |
reconoces	r e c o n o c e s |
escuchadme	e s c u c h a d m e |
colocar	c o l o c a r |
hembrillas	h e m b r i l l a s |
subleva	s u b l e v a |
digan	d i g a n |
faltas	f a l t a s |
seguramente	s e g u r a m e n t e |
sonrisas	s o n r i s a s |
conmueven	c o n m u e v e n |
mías	m í a s |
mírale	m í r a l e |
irregular	i r r e g u l a r |
aventureros	a v e n t u r e r o s |
españoles	e s p a ñ o l e s |
alarico	a l a r i c o |
bárbaro	b á r b a r o |
tarik	t a r i k |
moro	m o r o |
dormirán	d o r m i r á n |
refugio	r e f u g i o |
tienda	t i e n d a |
campaña	c a m p a ñ a |
metida	m e t i d a |
limpiando	l i m p i a n d o |
zumbido	z u m b i d o |
ultramar	u l t r a m a r |
sangre	s a n g r e |
jesucristo	j e s u c r i s t o |
vase	v a s e |
honda	h o n d a |
enfermera	e n f e r m e r a |
segundo	s e g u n d o |
senté	s e n t é |
limpio	l i m p i o |
limpia	l i m p i a |
ensucia	e n s u c i a |
pequeña	p e q u e ñ a |
curarle	c u r a r l e |
herida	h e r i d a |
cita	c i t a |
revoloteaba	r e v o l o t e a b a |
surgía	s u r g í a |
pensamientos	p e n s a m i e n t o s |
ingrávido	i n g r á v i d o |
funambulesco	f u n a m b u l e s c o |
torturador	t o r t u r a d o r |
mayores	m a y o r e s |
cojo	c o j o |
cegato	c e g a t o |
obedeció	o b e d e c i ó |
sonriendo	s o n r i e n d o |
tristes	t r i s t e s |
principio	p r i n c i p i o |
anima	a n i m a |
sigue	s i g u e |
acosándome	a c o s á n d o m e |
rato	r a t o |
jefe	j e f e |
indeseable	i n d e s e a b l e |
ibais	i b a i s |
fotos	f o t o s |
capitán	c a p i t á n |
plateados	p l a t e a d o s |
sonido	s o n i d o |
calidad	c a l i d a d |
despedida	d e s p e d i d a |
soltero	s o l t e r o |
preparando	p r e p a r a n d o |
molestaría	m o l e s t a r í a |
grano	g r a n o |
granero	g r a n e r o |
compañero	c o m p a ñ e r o |
curas	c u r a s |
encontrarnos	e n c o n t r a r n o s |
disfrazamos	d i s f r a z a m o s |
profesional	p r o f e s i o n a l |
desaparecido	d e s a p a r e c i d o |
rico	r i c o |
pico	p i c o |
suelta	s u e l t a |
actualmente	a c t u a l m e n t e |
alquileres	a l q u i l e r e s |
nubes	n u b e s |
hablamos	h a b l a m o s |
oyes	o y e s |
mandaba	m a n d a b a |
grites	g r i t e s |
fondos	f o n d o s |
zarpamos	z a r p a m o s |
seguido	s e g u i d o |
hablaba	h a b l a b a |
comentando	c o m e n t a n d o |
suceso	s u c e s o |
toque	t o q u e |
acerque	a c e r q u e |
suyo	s u y o |
venganza	v e n g a n z a |
fomentemos	f o m e n t e m o s |
planeta	p l a n e t a |
grillo	g r i l l o |
cantaba	c a n t a b a |
canto	c a n t o |
ritmo	r i t m o |
remoto	r e m o t o |
primitivo	p r i m i t i v o |
roma	r o m a |
retraso	r e t r a s o |
privado	p r i v a d o |
licencias	l i c e n c i a s |
confesar	c o n f e s a r |
cables	c a b l e s |
intentar	i n t e n t a r |
conectarlos	c o n e c t a r l o s |
despídete	d e s p í d e t e |
patatitas	p a t a t i t a s |
valenciano	v a l e n c i a n o |
tatuados	t a t u a d o s |
adoptado	a d o p t a d o |
pescado	p e s c a d o |
azul	a z u l |
disimular	d i s i m u l a r |
huerto	h u e r t o |
enseñar	e n s e ñ a r |
riegos	r i e g o s |
rebeldes	r e b e l d e s |
enterarme	e n t e r a r m e |
taxidermista	t a x i d e r m i s t a |
bastantes	b a s t a n t e s |
sillas	s i l l a s |
interfiriendo	i n t e r f i r i e n d o |
búsqueda	b ú s q u e d a |
rescate	r e s c a t e |
amarga	a m a r g a |
raza	r a z a |
sajona	s a j o n a |
despreciable	d e s p r e c i a b l e |
reconocimiento	r e c o n o c i m i e n t o |
salvo	s a l v o |
barril	b a r r i l |
pierdes	p i e r d e s |
olvidado	o l v i d a d o |
umbral	u m b r a l |
adelantóse	a d e l a n t ó s e |
recibirme	r e c i b i r m e |
arte	a r t e |
tos	t o s |
tomaste	t o m a s t e |
jarabe	j a r a b e |
secuestraron	s e c u e s t r a r o n |
quino	q u i n o |
maradona	m a r a d o n a |
disparar	d i s p a r a r |
debías	d e b í a s |
tenerlos	t e n e r l o s |
pisa	p i s a |
gloria	g l o r i a |
interesa	i n t e r e s a |
burbuja	b u r b u j a |
ayudar	a y u d a r |
mear	m e a r |
roger	r o g e r |
mover	m o v e r |
valencia	v a l e n c i a |
desapareció	d e s a p a r e c i ó |
aborrecidas	a b o r r e c i d a s |
sombras	s o m b r a s |
seguirlas	s e g u i r l a s |
jurando	j u r a n d o |
arrancarme	a r r a n c a r m e |
entrañas	e n t r a ñ a s |
prometiendo	p r o m e t i e n d o |
beberse	b e b e r s e |
llegaste	l l e g a s t e |
inquieta	i n q u i e t a |
humo	h u m o |
vistas	v i s t a s |
poneos	p o n e o s |
mascarillas	m a s c a r i l l a s |
permanecí	p e r m a n e c í |
silencioso	s i l e n c i o s o |
conmovido	c o n m o v i d o |
ordenado	o r d e n a d o |
varios	v a r i o s |
abatido	a b a t i d o |
tregua	t r e g u a |
ciclón	c i c l ó n |
dé	d é |
veintiocho	v e i n t i o c h o |
lápiz	l á p i z |
alusiones	a l u s i o n e s |
funerarias	f u n e r a r i a s |
prometo	p r o m e t o |
prometa	p r o m e t a |
volvió	v o l v i ó |
mohín	m o h í n |
delicioso	d e l i c i o s o |
veintiséis	v e i n t i s é i s |
venido	v e n i d o |
envía	e n v í a |
dejadme	d e j a d m e |
imperdonable	i m p e r d o n a b l e |
riente	r i e n t e |
morena	m o r e n a |
recibimientos	r e c i b i m i e n t o s |
derecho	d e r e c h o |
toqueteo	t o q u e t e o |
intención	i n t e n c i ó n |
engancharan	e n g a n c h a r a n |
brindis	b r i n d i s |
éxitos	é x i t o s |
opciones	o p c i o n e s |
fracasar	f r a c a s a r |
aumentaban	a u m e n t a b a n |
orgasmo	o r g a s m o |
limpiado	l i m p i a d o |
poros	p o r o s |
check	c h e c k |
campesinas	c a m p e s i n a s |
robustas	r o b u s t a s |
primitiva	p r i m i t i v a |
ofrecer	o f r e c e r |
recursos	r e c u r s o s |
alcanzaré	a l c a n z a r é |
suroeste	s u r o e s t e |
ocupo	o c u p o |
suspiró	s u s p i r ó |
asoman	a s o m a n |
tostada	t o s t a d a |
leo	l e o |
tapa	t a p a |
prevengo	p r e v e n g o |
abadesa	a b a d e s a |
risto	r i s t o |
swatch	s w a t c h |
retroiluminación	r e t r o i l u m i n a c i ó n |
adagio	a d a g i o |
indiano	i n d i a n o |
punta	p u n t a |
sitges	s i t g e s |
postal	p o s t a l |
típica	t í p i c a |
adquirían	a d q u i r í a n |
tinte	t i n t e |
dorado	d o r a d o |
marinas	m a r i n a s |
encarnizado	e n c a r n i z a d o |
vocerío	v o c e r í o |
viniéronse	v i n i é r o n s e |
amenazándome	a m e n a z á n d o m e |
magnífico	m a g n í f i c o |
tragedias	t r a g e d i a s |
antiguas	a n t i g u a s |
mirarles	m i r a r l e s |
tomas	t o m a s |
mireia	m i r e i a |
pásame	p á s a m e |
tapones	t a p o n e s |
presionarle	p r e s i o n a r l e |
salva	s a l v a |
vidas	v i d a s |
concurso	c o n c u r s o |
literario	l i t e r a r i o |
posibilidad	p o s i b i l i d a d |
sacarte	s a c a r t e |
signo	s i g n o |
inteligente	i n t e l i g e n t e |
podrá	p o d r á |
reus	r e u s |
moral	m o r a l |
castizas	c a s t i z a s |
meterte	m e t e r t e |
obras	o b r a s |
ponga	p o n g a |
imprescindible	i m p r e s c i n d i b l e |
timón	t i m ó n |
empresa	e m p r e s a |
movido	m o v i d o |
navegando	n a v e g a n d o |
moviendo	m o v i e n d o |
convences	c o n v e n c e s |
inspirarte	i n s p i r a r t e |
arsenal	a r s e n a l |
bello	b e l l o |
sonrió	s o n r i ó |
pena	p e n a |
levantaremos	l e v a n t a r e m o s |
excursión	e x c u r s i ó n |
muñecas	m u ñ e c a s |
locas	l o c a s |
enseñarás	e n s e ñ a r á s |
camilla	c a m i l l a |
tanga	t a n g a |
braga	b r a g a |
misión	m i s i ó n |
secreta	s e c r e t a |
pasito	p a s i t o |
escondite	e s c o n d i t e |
despegue	d e s p e g u e |
quitas	q u i t a s |
ilusiones	i l u s i o n e s |
ocurra	o c u r r a |
casos	c a s o s |
compartiendo	c o m p a r t i e n d o |
marineros	m a r i n e r o s |
sirva	s i r v a |
consuelo	c o n s u e l o |
rodarán	r o d a r á n |
cabezas	c a b e z a s |
juro	j u r o |
perdone	p e r d o n e |
compadecido	c o m p a d e c i d o |
estuviera	e s t u v i e r a |
hospital	h o s p i t a l |
radioterapia	r a d i o t e r a p i a |
dejáis	d e j á i s |
figura	f i g u r a |
ensueño	e n s u e ñ o |
suspirante	s u s p i r a n t e |
partimos	p a r t i m o s |
piensas	p i e n s a s |
devolveré	d e v o l v e r é |
importe	i m p o r t e |
nacho	n a c h o |
romántico	r o m á n t i c o |
daban	d a b a n |
rosas	r o s a s |
deshojarse	d e s h o j a r s e |
parecía	p a r e c í a |
temerosa	t e m e r o s a |
sabremos	s a b r e m o s |
equivocas	e q u i v o c a s |
esparadrapo	e s p a r a d r a p o |
temporal	t e m p o r a l |
noticias	n o t i c i a s |
fábrica	f á b r i c a |
empiezan	e m p i e z a n |
sufrir	s u f r i r |
preferido	p r e f e r i d o |
gritara	g r i t a r a |
abofeteara	a b o f e t e a r a |
manolito	m a n o l i t o |
comprado	c o m p r a d o |
kilos	k i l o s |
pasajeros	p a s a j e r o s |
señas	s e ñ a s |
barqueros	b a r q u e r o s |
aproximen	a p r o x i m e n |
paciencia	p a c i e n c i a |
ciencia	c i e n c i a |
pasarme	p a s a r m e |
perdonarme	p e r d o n a r m e |
campeche	c a m p e c h e |
sentóse	s e n t ó s e |
arcón	a r c ó n |
cuida	c u i d a |
chavales	c h a v a l e s |
mentira	m e n t i r a |
seremos	s e r e m o s |
adultos	a d u l t o s |
comenzado	c o m e n z a d o |
ferias	f e r i a s |
famosas	f a m o s a s |
grijalba	g r i j a l b a |
armario	a r m a r i o |
cajones	c a j o n e s |
cumplirlo	c u m p l i r l o |
lamentar	l a m e n t a r |
oprimiéndome	o p r i m i é n d o m e |
mente	m e n t e |
excitante	e x c i t a n t e |
picaresco	p i c a r e s c o |
conseguiste	c o n s e g u i s t e |
negra	n e g r a |
plegado	p l e g a d o |
realidad	r e a l i d a d |
toros	t o r o s |
rojo	r o j o |
contarás	c o n t a r á s |
querernos	q u e r e r n o s |
compras	c o m p r a s |
entradas	e n t r a d a s |
anticipadas	a n t i c i p a d a s |
ahorras	a h o r r a s |
galardón	g a l a r d ó n |
latido	l a t i d o |
violencia	v i o l e n c i a |
tratóse	t r a t ó s e |
tropel	t r o p e l |
izar	i z a r |
negro	n e g r o |
subas	s u b a s |
envolvía	e n v o l v í a |
celeste	c e l e s t e |
diafanidad	d i a f a n i d a d |
cuerpo	c u e r p o |
diosa	d i o s a |
hablaban	h a b l a b a n |
humildes	h u m i l d e s |
levantar	l e v a n t a r |
importaría	i m p o r t a r í a |
acercarte	a c e r c a r t e |
supermercado	s u p e r m e r c a d o |
humilde	h u m i l d e |
fraile	f r a i l e |
licor	l i c o r |
apta	a p t a |
públicos	p ú b l i c o s |
monótono	m o n ó t o n o |
rompía	r o m p í a |
vivas	v i v a s |
dedo	d e d o |
bala	b a l a |
ganancia	g a n a n c i a |
pescadores	p e s c a d o r e s |
moriré	m o r i r é |
caballerango	c a b a l l e r a n g o |
sollozante	s o l l o z a n t e |
dejóse	d e j ó s e |
almohadas	a l m o h a d a s |
veintisiete	v e i n t i s i e t e |
vestirse	v e s t i r s e |
hacerte	h a c e r t e |
besé	b e s é |
crueldad	c r u e l d a d |
cine	c i n e |
india	i n d i a |
lánguidos	l á n g u i d o s |
brillantes	b r i l l a n t e s |
quita	q u i t a |
pon	p o n |
postrera	p o s t r e r a |
salvas	s a l v a s |
claras	c l a r a s |
montadas	m o n t a d a s |
vierten	v i e r t e n |
bol	b o l |
pánico	p á n i c o |
caducado	c a d u c a d o |
carpeta	c a r p e t a |
roja	r o j a |
amo	a m o |
garra	g a r r a |
escoge	e s c o g e |
irá	i r á |
quedará	q u e d a r á |
cortesanas	c o r t e s a n a s |
gasta	g a s t a |
consume	c o n s u m e |
gastaba	g a s t a b a |
consumía	c o n s u m í a |
lustros	l u s t r o s |
polémicas	p o l é m i c a s |
piruleta	p i r u l e t a |
funcionado	f u n c i o n a d o |
entregar	e n t r e g a r |
cafetera	c a f e t e r a |
estante	e s t a n t e |
irse	i r s e |
espabilando	e s p a b i l a n d o |
tengamos	t e n g a m o s |
teatro	t e a t r o |
colonias	c o l o n i a s |
cien	c i e n |
camisas	c a m i s a s |
última	ú l t i m a |
presto	p r e s t o |
hunda	h u n d a |
escondan	e s c o n d a n |
huroneaba	h u r o n e a b a |
arriesgaba	a r r i e s g a b a |
mísero	m í s e r o |
tostón	t o s t ó n |
rezongando	r e z o n g a n d o |
truhanerías	t r u h a n e r í a s |
alejaba	a l e j a b a |
significa	s i g n i f i c a |
santiaguistas	s a n t i a g u i s t a s |
negaban	n e g a b a n |
hospitalidad	h o s p i t a l i d a d |
percibo	p e r c i b o |
rumor	r u m o r |
pisadas	p i s a d a s |
descalzas	d e s c a l z a s |
freno	f r e n o |
escogidos	e s c o g i d o s |
instante	i n s t a n t e |
naipes	n a i p e s |
quedaban	q u e d a b a n |
esparcidos	e s p a r c i d o s |
zarape	z a r a p e |
sentada	s e n t a d a |
estúpido	e s t ú p i d o |
merecemos	m e r e c e m o s |
vele	v e l e |
muertos	m u e r t o s |
maquillarme	m a q u i l l a r m e |
quejarte	q u e j a r t e |
oreja	o r e j a |
vuelve	v u e l v e |
noviembre	n o v i e m b r e |
tomaremos	t o m a r e m o s |
castaña	c a s t a ñ a |
imaginar	i m a g i n a r |
cuervos	c u e r v o s |
sacaran	s a c a r a n |
despertarme	d e s p e r t a r m e |
dudaba	d u d a b a |
soñado	s o ñ a d o |
serpiente	s e r p i e n t e |
bota	b o t a |
atrapaste	a t r a p a s t e |
llegar	l l e g a r |
alzóse	a l z ó s e |
escaño	e s c a ñ o |
desdeñosamente	d e s d e ñ o s a m e n t e |
señores	s e ñ o r e s |
señoras	s e ñ o r a s |
aventura	a v e n t u r a |
bastaba	b a s t a b a |
fin	f i n |
asume	a s u m e |
cargos	c a r g o s |
entorno	e n t o r n o |
favorece	f a v o r e c e |
mental	m e n t a l |
minuto	m i n u t o |
evitar	e v i t a r |
alegrarme	a l e g r a r m e |
dándole	d á n d o l e |
flotilla	f l o t i l l a |
dispersa	d i s p e r s a |
prepare	p r e p a r e |
sala	s a l a |
operaciones	o p e r a c i o n e s |
sonreíste	s o n r e í s t e |
prepara	p r e p a r a |
numerito	n u m e r i t o |
enseñarte	e n s e ñ a r t e |
noventa	n o v e n t a |
momentos	m o m e n t o s |
semejaba	s e m e j a b a |
plomo	p l o m o |
rizarse	r i z a r s e |
dejarás	d e j a r á s |
círculos	c í r c u l o s |
sacerdocio	s a c e r d o c i o |
colocad	c o l o c a d |
filas	f i l a s |
pasaje	p a s a j e |
romperte	r o m p e r t e |
crisma	c r i s m a |
supositorio	s u p o s i t o r i o |
guay	g u a y |
fiti	f i t i |
trabajadores	t r a b a j a d o r e s |
eficaces	e f i c a c e s |
cobrarán	c o b r a r á n |
aspecto	a s p e c t o |
abandonado	a b a n d o n a d o |
bendita	b e n d i t a |
comunidad	c o m u n i d a d |
bula	b u l a |
beberla	b e b e r l a |
comentarios	c o m e n t a r i o s |
dinámica	d i n á m i c a |
cultural	c u l t u r a l |
asquerosa	a s q u e r o s a |
entramos	e n t r a m o s |
monstruosa	m o n s t r u o s a |
lisiados	l i s i a d o s |
cercó	c e r c ó |
clamorante	c l a m o r a n t e |
separarnos	s e p a r a r n o s |
avistamos	a v i s t a m o s |
difícil	d i f í c i l |
vayamos	v a y a m o s |
verá	v e r á |
raro	r a r o |
fija	f i j a |
palanca	p a l a n c a |
crees	c r e e s |
sombrilla	s o m b r i l l a |
vemos	v e m o s |
pimentonero	p i m e n t o n e r o |
acerca	a c e r c a |
practicar	p r a c t i c a r |
payaso	p a y a s o |
cerebro	c e r e b r o |
salida	s a l i d a |
marca	m a r c a |
cervezas	c e r v e z a s |
vio	v i o |
alcaldesa	a l c a l d e s a |
sector	s e c t o r |
vías	v í a s |
solución	s o l u c i ó n |
portero	p o r t e r o |
escudo	e s c u d o |
nobiliario	n o b i l i a r i o |
fundadora	f u n d a d o r a |
campeaba	c a m p e a b a |
arco	a r c o |
especial	e s p e c i a l |
apartó	a p a r t ó |
altivo	a l t i v o |
desdén	d e s d é n |
llenó	l l e n ó |
temblona	t e m b l o n a |
plata	p l a t a |
presentóselo	p r e s e n t ó s e l o |
pinta	p i n t a |
murmullo	m u r m u l l o |
allanado	a l l a n a d o |
encender	e n c e n d e r |
motor	m o t o r |
rubia	r u b i a |
difunta	d i f u n t a |
asegurad	a s e g u r a d |
patos	p a t o s |
salada	s a l a d a |
pobrecito	p o b r e c i t o |
empujado	e m p u j a d o |
trato	t r a t o |
seamos	s e a m o s |
primeras	p r i m e r a s |
campamento	c a m p a m e n t o |
mío	m í o |
pareces	p a r e c e s |
adoptaba	a d o p t a b a |
actitud	a c t i t u d |
lúgubre	l ú g u b r e |
poeta	p o e t a |
sepulturero	s e p u l t u r e r o |
doliente	d o l i e n t e |
razón	r a z ó n |
fiebres	f i e b r e s |
libros	l i b r o s |
arden	a r d e n |
existieron	e x i s t i e r o n |
llanto	l l a n t o |
natural	n a t u r a l |
desahogo	d e s a h o g o |
resignado	r e s i g n a d o |
principales	p r i n c i p a l e s |
famoso	f a m o s o |
bandidos	b a n d i d o s |
hubieras	h u b i e r a s |
quitado	q u i t a d o |
realmente	r e a l m e n t e |
polizones	p o l i z o n e s |
tenéis	t e n é i s |
creerme	c r e e r m e |
sufra	s u f r a |
impone	i m p o n e |
discurso	d i s c u r s o |
fatigaban	f a t i g a b a n |
contemplando	c o n t e m p l a n d o |
horizonte	h o r i z o n t e |
blanquecino	b l a n q u e c i n o |
calcinado	c a l c i n a d o |
raya	r a y a |
apuro	a p u r o |
dimos	d i m o s |
valor	v a l o r |
cantar	c a n t a r |
premios	p r e m i o s |
ganan	g a n a n |
mediocres	m e d i o c r e s |
ejemplo	e j e m p l o |
tanques	t a n q u e s |
lastre	l a s t r e |
escuchar	e s c u c h a r |
conversaciones	c o n v e r s a c i o n e s |
abandone	a b a n d o n e |
inmediatamente	i n m e d i a t a m e n t e |
reflejos	r e f l e j o s |
espejos	e s p e j o s |
insensato	i n s e n s a t o |
asomaban	a s o m a b a n |
pecosos	p e c o s o s |
bermejos	b e r m e j o s |
azafranados	a z a f r a n a d o s |
perjuros	p e r j u r o s |
dedico	d e d i c o |
bolos	b o l o s |
prometedor	p r o m e t e d o r |
dicha	d i c h a |
entendida	e n t e n d i d a |
volaba	v o l a b a |
buscado	b u s c a d o |
camarotes	c a m a r o t e s |
imaginas	i m a g i n a s |
sabiendo	s a b i e n d o |
conseguí	c o n s e g u í |
despojo	d e s p o j o |
contestatarios	c o n t e s t a t a r i o s |
baltasar	b a l t a s a r |
fui	f u i |
torpe	t o r p e |
eligiendo	e l i g i e n d o |
deprimido	d e p r i m i d o |
coló	c o l ó |
introduzca	i n t r o d u z c a |
indicaciones	i n d i c a c i o n e s |
pantalla	p a n t a l l a |
oírle	o í r l e |
intensamente	i n t e n s a m e n t e |
seria	s e r i a |
muda	m u d a |
ausencia	a u s e n c i a |
nuestros	n u e s t r o s |
seres	s e r e s |
ocupando	o c u p a n d o |
dile	d i l e |
altura	a l t u r a |
deseos	d e s e o s |
cumplen	c u m p l e n |
americana	a m e r i c a n a |
poetas	p o e t a s |
sangrientas	s a n g r i e n t a s |
hazañas	h a z a ñ a s |
florecer	f l o r e c e r |
epopeyas	e p o p e y a s |
salitre	s a l i t r e |
llamado	l l a m a d o |
tía	t í a |
calella	c a l e l l a |
platicaremos	p l a t i c a r e m o s |
deseando	d e s e a n d o |
cagado	c a g a d o |
cigarro	c i g a r r o |
pipa	p i p a |
misioneros	m i s i o n e r o s |
